Latitud: 10.985184, Longitud: -74.797018, Fecha: 7/3/2023, Hora: 10:32:50
Latitud: 10.985284, Longitud: -74.796845, Fecha: 7/3/2023, Hora: 10:33:15
Latitud: 10.985284, Longitud: -74.796845, Fecha: 7/3/2023, Hora: 10:33:15
Latitud: 10.985286, Longitud: -74.796835, Fecha: 7/3/2023, Hora: 10:33:30
Latitud: 10.985285, Longitud: -74.796837, Fecha: 7/3/2023, Hora: 10:33:30
Latitud: 10.985284, Longitud: -74.79684, Fecha: 7/3/2023, Hora: 10:33:40
Latitud: 10.985284, Longitud: -74.796841, Fecha: 7/3/2023, Hora: 10:33:50
Latitud: 10.985238, Longitud: -74.796889, Fecha: 7/3/2023, Hora: 10:34:13
Latitud: 10.985165, Longitud: -74.796981, Fecha: 7/3/2023, Hora: 10:36:20
Latitud: 10.985165, Longitud: -74.796981, Fecha: 7/3/2023, Hora: 10:36:20
Latitud: 10.985165, Longitud: -74.796981, Fecha: 7/3/2023, Hora: 10:36:20
Latitud: 10.985165, Longitud: -74.796981, Fecha: 7/3/2023, Hora: 10:36:20
Latitud: 10.985165, Longitud: -74.796981, Fecha: 7/3/2023, Hora: 10:36:20
Latitud: 10.985165, Longitud: -74.796981, Fecha: 7/3/2023, Hora: 10:36:20
Latitud: 10.985165, Longitud: -74.796981, Fecha: 7/3/2023, Hora: 10:36:20
Latitud: 10.985165, Longitud: -74.796981, Fecha: 7/3/2023, Hora: 10:36:20
Latitud: 10.985165, Longitud: -74.796981, Fecha: 7/3/2023, Hora: 10:36:20
Latitud: 10.985165, Longitud: -74.796981, Fecha: 7/3/2023, Hora: 10:36:20
Latitud: 10.985165, Longitud: -74.796981, Fecha: 7/3/2023, Hora: 10:36:20
Latitud: 10.985165, Longitud: -74.796981, Fecha: 7/3/2023, Hora: 10:36:20
Latitud: 10.985243, Longitud: -74.796903, Fecha: 7/3/2023, Hora: 10:43:18
Latitud: 10.985243, Longitud: -74.796903, Fecha: 7/3/2023, Hora: 10:43:18
Latitud: 10.985243, Longitud: -74.796902, Fecha: 7/3/2023, Hora: 10:43:32
Latitud: 10.985243, Longitud: -74.796902, Fecha: 7/3/2023, Hora: 10:43:32
Latitud: 10.985243, Longitud: -74.796902, Fecha: 7/3/2023, Hora: 10:43:42
Latitud: 10.985221, Longitud: -74.796962, Fecha: 7/3/2023, Hora: 10:44:15
Latitud: 10.985221, Longitud: -74.796962, Fecha: 7/3/2023, Hora: 10:44:15
Latitud: 10.985216, Longitud: -74.796957, Fecha: 7/3/2023, Hora: 10:44:22
Latitud: 10.985217, Longitud: -74.796959, Fecha: 7/3/2023, Hora: 10:44:32
Latitud: 10.985217, Longitud: -74.79696, Fecha: 7/3/2023, Hora: 10:44:32
Latitud: 10.985218, Longitud: -74.79696, Fecha: 7/3/2023, Hora: 10:44:42
Latitud: 10.985219, Longitud: -74.796965, Fecha: 7/3/2023, Hora: 10:45:13
Latitud: 10.985219, Longitud: -74.796965, Fecha: 7/3/2023, Hora: 10:45:13
Latitud: 10.985213, Longitud: -74.796959, Fecha: 7/3/2023, Hora: 10:45:22
Latitud: 10.985215, Longitud: -74.796959, Fecha: 7/3/2023, Hora: 10:45:32
Latitud: 10.985216, Longitud: -74.79696, Fecha: 7/3/2023, Hora: 10:45:32
Latitud: 10.985216, Longitud: -74.79696, Fecha: 7/3/2023, Hora: 10:45:42
Latitud: 10.98529, Longitud: -74.79702, Fecha: 7/3/2023, Hora: 10:46:17
Latitud: 10.985233, Longitud: -74.796941, Fecha: 7/3/2023, Hora: 10:46:17
